name;description;price;category;mass
Tassédet 004 Meteorite 23.7g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-68;47.4;H5;23.7
Gebel Kamil Meteorite 133.7g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-21;200.55;Iron, ungrouped;133.7
NWA 11700 Meteorite 30.3g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-35;60.6;H4;30.3
Aletai Meteorite 20.8g Crystal;Aletai meteorites were found in China in 1898. The 28-ton ALET-134 Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;26.0;Iron, IIIAB;20.8
Gebel Kamil Meteorite 8.7g Cleaned;GEB-25 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;17.4;Iron, ungrouped;8.7
NWA 11788 Lunar Meteorite 2.11g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite -159;189.9;Lunar;2.11
NWA 12925 Meteorite 1.66g;NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite. 12925-17;28.22;CK5;1.66
Sericho Pallasite Individual 1.73g;SERS-232;17.3;Pallasite, PMG;1.73
NWA 11700 Meteorite 5.9g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-26;11.8;H4;5.9
Dronino Oxide 13.1g;There have been nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-41;13.1;Iron, ungrouped;13.1
Clarendon (c) Meteorite 0.9g;The Clarendon (c) meteorite was found in on a Texas ranch. They have a reddish-brown exterior and no fusion crust. CLAR-20;10.0;L4;0.9
Clarendon (c) Meteorite 4.5g;CLAR-12 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color;25.0;L4;4.5
NWA 11788 Lunar Meteorite 1.36g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite. 11788-161;110.16;Lunar;1.36
Campo del Cielo Meteorite 29.4g Crystal;Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weaponsCC-164;36.75;Iron, IAB-MG;29.4
Saffordite 5.2g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-153are gemmy clear and sparkling when held to light.;41.6;Unknown;5.2
